,bt,bz,yogunluk,hız,kp
204,6.2,-0.2,9.1,440.0,17.0
205,5.1,-1.4,10.5,443.0,17.0
206,5.4,1.4,9.5,439.0,23.0
207,6.2,1.1,6.3,460.0,23.0
208,6.5,1.3,5.8,469.0,23.0
209,6.3,-3.5,5.1,478.0,23.0
211,5.2,0.6,4.4,466.0,23.0
212,4.5,0.5,4.2,489.0,17.0
213,5.8,2.1,3.7,524.0,17.0
214,4.9,-2.2,3.0,542.0,17.0
215,4.6,0.9,2.7,536.0,10.0
216,4.6,1.9,2.3,534.0,10.0
217,4.1,1.0,2.3,547.0,10.0
218,4.4,1.6,2.3,544.0,7.0
219,4.5,-0.1,2.6,538.0,7.0
220,4.0,-0.2,3.0,536.0,7.0
221,3.9,-2.4,3.3,547.0,23.0
222,4.5,-2.7,3.1,543.0,23.0
223,4.3,-2.8,3.5,510.0,23.0
224,4.5,-1.0,3.9,515.0,23.0
225,4.9,-3.4,4.3,502.0,23.0
226,6.7,0.3,4.7,502.0,23.0
227,6.7,3.9,4.5,488.0,17.0
228,4.7,3.4,3.9,495.0,17.0
229,4.2,-1.2,4.5,503.0,17.0
230,4.4,-2.4,4.1,494.0,17.0
231,4.1,0.1,4.0,488.0,17.0
232,3.6,-0.4,3.8,495.0,17.0
233,3.6,-0.3,3.7,490.0,13.0
234,3.6,-1.0,3.9,491.0,13.0
235,3.4,2.3,4.3,487.0,13.0
236,4.4,3.8,3.9,482.0,7.0
237,4.8,0.9,3.9,466.0,7.0
239,3.9,-1.2,3.5,453.0,20.0
240,4.2,0.6,2.9,452.0,20.0
241,4.3,-1.0,2.3,451.0,20.0
242,4.4,-1.1,2.8,467.0,23.0
243,4.6,-0.6,2.7,442.0,23.0
244,4.7,-0.3,2.4,440.0,23.0
245,4.8,-0.7,2.1,438.0,20.0
246,4.5,-1.2,1.9,436.0,20.0
248,3.9,-1.2,2.1,436.0,13.0
249,4.8,0.3,2.5,431.0,13.0
250,4.7,2.1,2.0,419.0,13.0
251,4.9,2.4,3.4,430.0,3.0
252,5.2,1.6,4.4,429.0,3.0
253,5.0,-0.3,4.6,422.0,3.0
254,5.5,-0.5,4.9,440.0,13.0
255,5.5,1.1,5.1,438.0,13.0
256,5.4,2.4,5.2,426.0,13.0
257,5.0,4.4,5.0,422.0,3.0
258,4.5,2.7,5.0,419.0,3.0
259,4.5,2.8,5.2,412.0,3.0
260,3.9,1.4,5.1,409.0,7.0
261,3.4,-0.3,4.9,418.0,7.0
262,3.9,-0.8,4.7,422.0,7.0
263,4.2,-0.4,4.7,427.0,10.0
264,3.8,0.2,4.7,426.0,10.0
265,3.7,-1.6,4.3,431.0,10.0
266,3.8,-1.9,3.9,428.0,17.0
267,3.1,-0.7,4.1,423.0,17.0
269,2.3,-0.9,4.5,407.0,7.0
270,2.8,-0.1,4.2,410.0,7.0
271,3.5,-1.5,3.8,409.0,7.0
272,3.6,0.1,3.7,406.0,3.0
273,3.2,0.2,3.4,410.0,3.0
274,2.6,0.1,3.5,402.0,3.0
275,2.2,-0.3,3.3,407.0,3.0
276,2.1,-0.3,3.4,408.0,3.0
277,3.0,-1.5,3.3,394.0,3.0
278,2.6,-0.7,3.2,400.0,0.0
279,2.9,1.3,3.0,414.0,0.0
280,2.9,1.1,3.0,412.0,0.0
281,2.8,0.5,2.6,388.0,0.0
282,3.2,0.8,2.3,377.0,0.0
283,3.2,0.3,2.7,380.0,0.0
284,3.0,-0.8,2.9,392.0,3.0
285,3.3,-0.2,2.2,361.0,3.0
286,3.4,-0.2,2.0,360.0,3.0
287,3.6,0.8,1.7,353.0,3.0
288,3.3,0.5,2.7,358.0,3.0
289,3.4,-1.7,3.1,371.0,3.0
290,3.8,-0.9,3.6,376.0,7.0
291,4.3,0.2,2.7,350.0,7.0
293,4.3,1.1,3.4,349.0,3.0
294,4.0,-0.5,4.1,358.0,3.0
295,3.5,-0.7,4.5,369.0,3.0
296,3.4,0.1,4.8,386.0,3.0
298,4.0,-0.4,4.4,360.0,3.0
299,4.1,0.6,5.1,353.0,3.0
300,4.1,1.9,5.4,353.0,3.0
301,1.9,-0.1,9.5,357.0,3.0
302,1.6,-0.5,9.2,354.0,0.0
303,2.1,-0.5,8.8,350.0,0.0
304,1.9,-0.1,9.7,352.0,0.0
305,2.7,0.1,9.4,351.0,7.0
306,3.2,-0.3,7.7,342.0,7.0
307,3.3,-0.6,7.3,339.0,7.0
308,3.6,-1.0,6.7,339.0,7.0
309,3.4,-1.3,6.5,346.0,7.0
310,3.6,-0.9,6.4,347.0,7.0
311,3.2,0.9,7.0,353.0,3.0
312,2.9,1.5,7.7,354.0,3.0
313,2.9,1.1,7.6,353.0,3.0
314,3.1,0.5,7.2,351.0,3.0
315,3.7,-0.6,7.3,346.0,3.0
316,4.1,-0.6,7.5,345.0,3.0
317,3.8,1.1,7.2,343.0,3.0
318,3.4,1.4,8.2,341.0,3.0
319,4.4,0.9,6.1,328.0,3.0
320,4.8,-1.5,5.9,321.0,7.0
321,5.2,-2.1,5.3,317.0,7.0
322,5.3,-1.8,5.3,314.0,7.0
323,5.0,-1.5,4.9,303.0,3.0
324,4.8,-1.0,4.8,304.0,3.0
325,4.3,-1.0,4.4,295.0,3.0
326,4.2,-1.1,3.5,298.0,3.0
327,4.0,-1.0,5.2,304.0,3.0
328,4.0,-0.9,5.9,313.0,3.0
329,4.7,-1.0,5.9,322.0,0.0
330,4.5,0.9,6.3,322.0,0.0
331,4.5,0.1,6.5,320.0,0.0
332,3.9,1.1,7.5,317.0,0.0
333,4.2,-1.1,7.2,316.0,0.0
334,4.4,0.4,6.6,313.0,0.0
335,4.5,2.0,7.0,312.0,3.0
336,4.4,1.8,6.6,310.0,3.0
